GPA,Internships,Projects,Technical_Skills,Communication_Skills,Leadership_Skills,Extracurriculars,Networking_Score,Research_Papers,Online_Courses,Certifications,Hackathons_Participated,Volunteering_Experience
9.06,3,1,7,7,8,3,4,1,0,0,1,1
9.63,3,5,7,5,8,1,10,0,2,0,3,0
8.27,1,5,8,5,6,0,10,1,4,1,1,1
8.4,3,4,9,8,7,3,6,3,2,2,2,0
6.89,3,5,5,6,6,2,6,2,1,3,3,2
8.06,3,2,7,6,5,5,8,3,5,4,0,3
7.81,2,5,6,7,10,0,6,1,2,4,5,1
9.59,3,5,6,8,9,0,10,2,0,1,5,2
6.3,2,6,6,6,9,0,7,1,5,1,5,3
6.67,3,2,7,5,4,1,6,0,1,4,3,0
